163,74,13
167,73,10
150,69,31
177,57,16
166,48,36
160,44,46
194,38,18
185,33,32
188,32,30
182,32,36
183,32,35
180,31,39
179,31,40
198,30,22
180,30,40
182,30,38
194,29,27
189,29,32
173,30,47
191,29,30
185,30,35
185,29,36
190,28,32
202,27,21
186,27,37
186,27,37
186,26,38
183,26,41
191,25,34
175,26,49
187,26,37
183,26,41
196,26,28
190,26,34
204,26,20
186,26,38
191,26,33
178,26,46
202,27,21
189,26,35
191,26,33
195,26,29
182,25,43
184,25,41
191,26,33
192,25,33
190,26,34
192,26,32
188,25,37
180,25,45
181,25,44
191,26,33
194,25,31
163,25,62
179,25,46
183,24,43
182,24,44
181,24,45
196,24,30
182,23,45
204,23,23
189,23,38
176,23,51
194,22,34
177,22,51
195,22,33
201,21,28
198,22,30
204,22,24
196,21,33
192,22,36
194,22,34
199,21,30
200,21,29
186,22,42
194,22,34
192,21,37
